J_type	N-SIZE	Thk	Filler Ф2#4	Elec# Ф2#5	Elec# Ф3#25	Elec# Ф4
BW	0.5	2.77	0.01596072048	0	0	0
FW	0.5	2.77	0	0.00761284365	0	0
BW	0.5	3.56	0.01674825603	0	0	0
FW	0.5	3.56	0	0.011419265475	0	0
BW	0.5	3.73	0.01674825603	0	0	0
FW	0.5	3.73	0	0.011419265475	0	0
FW	0.5	3.91	0	0.011419265475	0	0
FW	0.5	4.55	0	0.01979339349	0	0
BW	0.5	4.78	0.020554677855	0	0	0
FW	0.5	4.78	0	0.01979339349	0	0
FW	0.5	5.08	0	0.029690090235	0	0
FW	0.5	5.49	0	0.029690090235	0	0
FW	0.5	5.56	0	0.029690090235	0	0
FW	0.5	6.35	0	0.04110935571	0	0
FW	0.5	7.01	0	0	0.05481247428	0
BW	0.5	7.47	0.05024476809	0	0	0
FW	0.5	7.47	0	0	0.05481247428	0
FW	0.5	7.62	0	0	0.05481247428	0
FW	0.5	9.53	0	0	0.08830898634	0
BW	0.5	12	0.028167521505	0	0.08678641761	0
FW	0.5	12.7	0	0	0.149973019905	0
BW	0.5	16	0.028167521505	0	0.06699302412	0.102773389275
BW	0.5	20	0.028167521505	0	0.08069614269	0.186514669425
BW	0.5	21	0.028167521505	0	0.08526384888	0.21011448474
BW	0.75	2.87	0.018131434665	0	0	0
FW	0.75	2.87	0	0.00954286035	0	0
BW	0.75	3.91	0.02099429277	0	0	0
FW	0.75	3.91	0	0.014314290525	0	0
FW	0.75	4.55	0	0.02481143691	0	0
FW	0.75	5.08	0	0.037217155365	0	0
FW	0.75	5.54	0	0.037217155365	0	0
BW	0.75	5.56	0.03626286933	0	0	0
FW	0.75	5.56	0	0.037217155365	0	0
BW	0.75	6.02	0.048668587785	0	0	0
BW	0.75	6.35	0.048668587785	0	0	0
FW	0.75	6.35	0	0.05153144589	0	0
FW	0.75	7.11	0	0	0.06870859452	0
BW	0.75	8.18	0.073480024695	0	0	0
FW	0.75	8.18	0	0	0.088748601255	0
BW	0.75	9.53	0.08970288729	0	0	0
BW	0.75	12.7	0.035308583295	0	0.10878860799	0
FW	0.75	12.7	0	0	0.187994348895	0
BW	0.75	13.4	0.035308583295	0	0.13741718904	0
BW	0.75	16	0.035308583295	0	0.08397717108	0.128828614725
FW	0.75	16	0	0	0.32064010776	0
BW	0.75	16.7	0.035308583295	0	0.08397717108	0.128828614725
BW	0.75	19.05	0.035308583295	0	0.10115431971	0.20612578356
BW	0.75	21	0.035308583295	0	0.10688003592	0.26338294566
BW	0.75	21.44	0.035308583295	0	0.10688003592	0.26338294566
BW	0.75	25	0.035308583295	0	0.12405718455	0.39698299056
FW	0.75	25	0	0	0.741480249195	0
BW	0.75	55	0.035308583295	0	0.300600101025	2.11278928149
BW	1	3.38	0.02626252354	0	0	0
FW	1	3.38	0	0.01790626605	0	0
BW	1	3.56	0.02626252354	0	0	0
FW	1	3.56	0	0.01790626605	0	0
FW	1	3.91	0	0.01790626605	0	0
BW	1	4.55	0.03223127889	0	0	0
FW	1	4.55	0	0.03103752782	0	0
FW	1	5.08	0	0.04655629173	0	0
FW	1	5.54	0	0.04655629173	0	0
BW	1	6.35	0.06088130457	0	0	0
FW	1	6.35	0	0.06446255778	0	0
BW	1	6.49	0.06088130457	0	0	0
FW	1	7.01	0	0	0.08595007704	0
FW	1	12.7	0	0	0.23516896079	0
BW	1	16	0.04416878959	0	0.10505009416	0.16115639445
BW	1	19.05	0.04416878959	0	0.12653761342	0.25785023112
BW	1	22	0.04416878959	0	0.14086262626	0.36886908063
BW	1.25	3.56	0.015726062	0	0	0
FW	1.25	3.56	0	0.010722315	0	0
FW	1.25	4.85	0	0.018585346	0	0
BW	1.5	2.77	0.014464402935	0	0	0
FW	1.5	2.77	0	0.00761284365	0	0
FW	1.5	2.87	0	0.00761284365	0	0
BW	1.5	3.56	0.01674825603	0	0	0
FW	1.5	3.56	0	0.011419265475	0	0
BW	1.5	3.68	0.01674825603	0	0	0
FW	1.5	3.68	0	0.011419265475	0	0
BW	1.5	3.7	0.01674825603	0	0	0
FW	1.5	3.76	0	0.011419265475	0	0
FW	1.5	3.91	0	0.011419265475	0	0
FW	1.5	4.19	0	0.01979339349	0	0
BW	1.5	5.08	0.02892880587	0	0	0
FW	1.5	5.08	0	0.029690090235	0	0
FW	1.5	5.54	0	0.029690090235	0	0
FW	1.5	5.56	0	0.029690090235	0	0
FW	1.5	6.02	0	0.04110935571	0	0
FW	1.5	6.35	0	0.04110935571	0	0
FW	1.5	7.01	0	0	0.05481247428	0
FW	1.5	7.11	0	0	0.05481247428	0
BW	1.5	7.14	0.05024476809	0	0	0
FW	1.5	7.14	0	0	0.05481247428	0
FW	1.5	7.47	0	0	0.05481247428	0
FW	1.5	7.62	0	0	0.05481247428	0
FW	1.5	7.92	0	0	0.05481247428	0
FW	1.5	9.27	0	0	0.08830898634	0
FW	1.5	9.53	0	0	0.08830898634	0
BW	1.5	10.15	0.028167521505	0	0.05785761174	0
FW	1.5	10.15	0	0	0.107341095465	0
FW	1.5	10.31	0	0	0.107341095465	0
FW	1.5	10.97	0	0	0.107341095465	0
FW	1.5	11.13	0	0	0.12789577332	0
FW	1.5	12.7	0	0	0.149973019905	0
FW	1.5	16.7	0	0	0.25579154664	0
FW	1.5	19.05	0	0	0.353997229725	0
FW	1.5	19.4	0	0	0.353997229725	0
BW	1.5	21	0.028167521505	0	0.08526384888	0.21011448474
FW	1.5	21.44	0	0	0.427080528765	0
FW	1.5	23.88	0	0	0.506254102725	0
BW	1.5	28	0.028167521505	0	0.117999076575	0.408809704005
FW	1.5	30.96	0	0	0.839696654595	0
FW	1.5	36.53	0	0	1.186842325035	0
FW	1.5	42.9	0	0	1.588800469755	0
FW	1.5	52.37	0	0	2.210008511595	0
BW	2	2.77	0.040948520985	0	0	0
FW	2	2.77	0	0.02155185315	0	0
BW	2	2.87	0.040948520985	0	0	0
FW	2	3	0	0.032327779725	0	0
FW	2	3.76	0	0.032327779725	0	0
BW	2	3.81	0.04741407693	0	0	0
FW	2	3.81	0	0.032327779725	0	0
BW	2	3.91	0.04741407693	0	0	0
FW	2	3.91	0	0.032327779725	0	0
FW	2	5.08	0	0.084052227285	0	0
BW	2	5.49	0.08189704197	0	0	0
FW	2	5.49	0	0.084052227285	0	0
BW	2	5.54	0.08189704197	0	0	0
FW	2	5.54	0	0.084052227285	0	0
BW	2	6.02	0.109914451065	0	0	0
FW	2	6.02	0	0.11638000701	0	0
BW	2	6.35	0.109914451065	0	0	0
FW	2	6.35	0	0.11638000701	0	0
BW	2	6.49	0.109914451065	0	0	0
FW	2	6.49	0	0	0.122845562955	0
FW	2	7.01	0	0	0.15517334268	0
FW	2	7.11	0	0	0.15517334268	0
FW	2	7.62	0	0	0.15517334268	0
BW	2	8.18	0.165949269255	0	0	0
FW	2	8.18	0	0	0.200432234295	0
BW	2	8.74	0.165949269255	0	0	0
FW	2	8.74	0	0	0.200432234295	0
BW	2	9.53	0.20258741961	0	0	0
FW	2	9.53	0	0	0.25000149654	0
BW	2	12.7	0.079741856655	0	0.24569112591	0
FW	2	12.7	0	0	0.424571507055	0
FW	2	13.6	0	0	0.502158178395	0
FW	2	14.2	0	0	0.56896892316	0
FW	2	14.27	0	0	0.56896892316	0
BW	2	16	0.079741856655	0	0.18965630772	0.290950017525
BW	2	18	0.079741856655	0	0.2155185315	0.403019653905
FW	2	19.4	0	0	1.002161171475	0
FW	2	22.2	0	0	1.31897341278	0
BW	2	23	0.079741856655	0	0.26724297906	0.74138374836
BW	2	25	0.079741856655	0	0.28017409095	0.89655709104
BW	2.5	3.05	4.51586079224816E-02	0	0	0
FW	2.5	3.05	0	0.04556983875	0	0
FW	2.5	7.01	0	0	0.218735226	0
FW	2.5	7.62	0	0	0.218735226	0
FW	3	3	0	0.047660690175	0	0
BW	3	3.05	0.06990234559	0	0	0
FW	3	3.05	0	0.047660690175	0	0
BW	3	3.38	0.06990234559	0	0	0
BW	3	3.56	0.06990234559	0	0	0
BW	3	3.81	0.06990234559	0	0	0
FW	3	3.81	0	0.047660690175	0	0
FW	3	4.19	0	0.08261186297	0	0
FW	3	4.78	0	0.08261186297	0	0
BW	3	5.16	0.12074041511	0	0	0
BW	3	5.49	0.12074041511	0	0	0
FW	3	5.49	0	0.123917794455	0	0
BW	3	6.02	0.162046346595	0	0	0
FW	3	6.02	0	0.17157848463	0	0
BW	3	6.35	0.162046346595	0	0	0
FW	3	6.35	0	0.17157848463	0	0
BW	3	6.49	0.162046346595	0	0	0
FW	3	6.49	0	0	0.181110622665	0
BW	3	7.62	0.20970703677	0	0	0
FW	3	7.62	0	0	0.22877131284	0
FW	3	7.92	0	0	0.22877131284	0
BW	3	8.56	0.244658209565	0	0	0
BW	3	11.13	0.117563035765	0	0.308205796465	0
FW	3	11.13	0	0	0.53379972996	0
BW	3	12.7	0.117563035765	0	0.36222124533	0
FW	3	12.7	0	0	0.625943730965	0
BW	3	20	0.117563035765	0	0.33680221057	0.778457939525
FW	3	22.2	0	0	1.94455615914	0
BW	3	24	0.117563035765	0	0.39399503878	1.204226771755
FW	4	3	0	0.061278030225	0	0
BW	4	3.05	0.08987444433	0	0	0
FW	4	3.81	0	0.061278030225	0	0
BW	4	3.91	0.08987444433	0	0	0
FW	4	4.78	0	0.10621525239	0	0
BW	4	5.49	0.15523767657	0	0	0
BW	4	6.02	0.208345302765	0	0	0
FW	4	6.02	0	0.22060090881	0	0
BW	4	6.35	0.208345302765	0	0	0
FW	4	6.35	0	0.22060090881	0	0
BW	4	6.49	0.208345302765	0	0	0
FW	4	7.11	0	0	0.29413454508	0
FW	4	7.92	0	0	0.29413454508	0
BW	4	8.56	0.314560555155	0	0	0
FW	4	8.56	0	0	0.379923787395	0
BW	4	8.66	0.314560555155	0	0	0
FW	4	9.53	0	0	0.47388343374	0
BW	4	10.31	0.151152474555	0	0.31047535314	0
FW	4	10.31	0	0	0.576013484115	0
BW	4	11.13	0.151152474555	0	0.396264595455	0
FW	4	12.7	0	0	0.804784796955	0
BW	4	13.49	0.151152474555	0	0.58826909016	0
BW	4	28	0.151152474555	0	0.633206312325	2.193753482055
BW	4	30.96	0.151152474555	0	0.698569544565	2.553251259375
FW	6	3	0	0.090228280725	0	0
BW	6	3.4	0.13233481173	0	0	0
BW	6	3.91	0.13233481173	0	0	0
FW	6	4.78	0	0.15639568659	0	0
BW	6	6.02	0.306776154465	0	0	0
FW	6	6.02	0	0.32482181061	0	0
BW	6	6.35	0.306776154465	0	0	0
FW	6	6.35	0	0.32482181061	0	0
BW	6	7.11	0.39700443519	0	0	0
FW	6	7.11	0	0	0.43309574748	0
FW	6	7.92	0	0	0.43309574748	0
BW	6	8.18	0.463171841055	0	0	0
BW	6	9.53	0.56543055921	0	0	0
FW	6	9.53	0	0	0.69776537094	0
BW	6	10	0.679719714795	0	0	0
BW	6	10.97	0.222563092455	0	0.45715662234	0
FW	6	12.7	0	0	1.184998086855	0
FW	6	13.6	0	0	1.401545960595	0
BW	6	14.27	0.222563092455	0	1.028602400265	0
FW	6	16.7	0	0	2.02111348824	0
BW	6	18.26	0.222563092455	0	0.6015218715	1.124845899705
BW	6	22	0.222563092455	0	0.70979580837	1.858702582935
FW	6	22.2	0	0	3.68131385358	0
BW	6	55	0.222563092455	0	1.894793895225	13.31769423501
